playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
bellja01,2063,1123,1963,394,860,91,60,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2006,1903,50656,5609,220,1120,2,8050000,2001,N
jacksre01,2820,1551,2584,463,1702,228,115,164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2102,2057,53268,133,142,31,14,1102946,1986,Y
ryanbj01,560,0,0,0,0,0,0,0,21,28,560,0,117,424,201,42,264,625,53.71000000000001,216,560,0,1610,52,6,7,2,12000000,2009,NULL
plesada01,1064,0,1,0,0,0,0,0,65,71,1064,0,158,977,433,105,402,1041,75.55999999999999,478,1064,14,3216,100,3,6,3,2766667,1992,N
callijo01,1886,926,1757,321,840,74,51,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1777,1690,45118,175,57,34,3,NULL,NULL,N
keyji01,471,0,0,0,0,0,0,0,186,117,470,34,10,2518,1010,254,668,1538,56.20000000000001,1104,470,389,7775,452,22,35,4,5390825,1998,N
boutoji01,307,8,35,3,21,0,0,0,62,63,304,34,6,1131,492,127,435,720,43.79,566,304,144,3715,177,15,13,1,NULL,NULL,N
hosmeer01,1554,767,1629,300,835,76,30,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1510,1484,39240,965,77,1115,1,8250000,2016,NULL
halleto01,1294,461,1011,153,504,14,30,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214,1087,29261,511,65,89,3,NULL,NULL,NULL
murcebo01,1908,972,1862,285,1043,127,75,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1706,1660,44078,293,90,48,5,NULL,NULL,N
romerri01,129,1,2,0,2,0,0,0,51,45,129,8,0,766,370,82,354,622,27.77,402,129,127,2404,149,8,7,1,7500000,2013,NULL
conceda01,2488,993,2326,389,950,321,109,93,0,0,1,0,0,2,0,0,0,1,0,0,2499,2250,60624,7024,326,1390,9,920000,1986,N
rosepe01,3562,2165,4256,746,1314,198,149,167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3528,3437,90298,3349,213,1083,17,1000000,1986,N
aaronha01,3298,2174,3771,624,2297,240,73,293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3020,2977,78414,429,144,218,21,NULL,NULL,Y
pederjo01,885,400,598,131,364,19,21,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,808,658,17783,32,17,12,1,520000,2016,NULL
roberbr01,1418,850,1527,367,542,285,73,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1357,1324,34965,3858,97,876,2,10000000,2013,NULL
alexado01,562,19,44,8,17,0,0,0,194,174,561,98,3,3376,1406,324,978,1528,88.66,1541,561,464,10101,521,32,36,1,1000000,1989,N
mclisca01,368,47,73,9,30,1,0,0,92,92,352,57,6,1685,715,164,552,713,78.89,824,352,176,4049,302,11,27,1,NULL,NULL,NULL
smallro02,1653,745,1454,244,694,27,34,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1350,1249,33384,3817,217,794,1,740000,1986,NULL
allendi01,1749,1099,1848,320,1119,133,52,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1722,1690,43662,1711,245,756,7,NULL,NULL,N
bondsbo01,1849,1258,1886,302,1024,461,169,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1736,1707,45315,128,89,40,3,NULL,NULL,N
rodonca01,121,0,2,1,2,0,0,0,42,38,121,2,0,600,282,79,267,710,31.900000000000002,309,121,116,2008,56,4,2,1,518000,2016,NULL
encared01,1960,1099,1832,370,1261,61,14,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1171,1143,29867,1355,144,460,3,10000000,2016,NULL
burleri01,1346,656,1401,256,449,72,68,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1290,1252,33356,4109,189,893,4,856667,1986,N
