playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,A_YP,A_G_ALL,A_GP,inducted
aasedo01,0,0,0,0,0,0,0,66,60,22,82,1085,89,457,641,3.4930769230769227,503,91,3328,135,13,10,1,675000,1988,13,448,448,NULL
abbotji01,0,2,0,3,0,0,0,87,108,31,0,1779,154,620,888,4.496363636363636,880,254,5022,300,9,16,NULL,2775000,1995,10,263,263,N
abbotky01,2,3,1,2,0,0,0,4,17,0,0,207,26,79,124,8.4425,112,22,556,25,1,0,NULL,150000,1995,4,57,57,NULL
abbotpa01,2,5,1,2,0,0,0,43,37,1,0,682,101,393,496,5.511666666666667,421,112,2162,76,6,8,NULL,3425000,2002,11,162,162,NULL
aceveju01,4,6,2,0,0,0,0,28,40,0,53,597,72,226,350,4.508,316,34,1710,68,8,1,NULL,900000,2003,8,367,367,NULL
ackerji01,2,9,1,1,0,0,0,33,49,0,30,918,82,329,482,3.9600000000000004,447,32,2713,161,2,11,NULL,700000,1990,10,467,467,NULL
acrema01,0,0,0,0,0,0,0,9,6,0,2,135,16,68,98,5.245000000000001,75,0,381,9,1,0,NULL,165000,1997,4,114,114,NULL
adamsjo02,0,3,1,1,0,0,0,5,6,0,0,121,19,37,77,6.373333333333334,66,11,331,15,3,0,NULL,210000,1998,3,44,44,NULL
adamste01,2,4,1,2,0,0,0,51,62,0,42,890,63,380,691,5.0058333333333325,448,41,2608,130,14,6,NULL,2900000,2003,11,574,574,NULL
adamswi02,0,0,0,0,0,0,0,6,9,1,0,149,20,55,105,6.095,92,24,404,16,0,0,NULL,177000,1998,2,25,25,NULL
agostju01,0,2,0,0,0,0,0,40,33,0,29,639,30,248,307,5.676666666666667,313,2,1879,158,14,13,NULL,1666667,1992,13,543,543,NULL
aguilri01,12,28,3,11,0,0,0,86,81,10,318,1233,138,351,1030,3.496315789473685,568,89,3874,177,5,9,3,4350000,1995,16,737,732,N
akerfda01,0,1,0,0,0,0,0,9,10,1,3,216,36,127,129,5.159999999999999,146,13,701,40,3,1,NULL,165000,1991,5,125,125,NULL
alberjo01,0,0,0,0,0,0,0,0,4,0,0,77,7,36,23,7.043333333333334,57,5,175,11,1,1,NULL,109000,1995,3,27,27,NULL
aldremi01,277,565,104,271,19,18,29,0,0,0,0,1,0,0,0,0,0,502,13601,159,19,187,NULL,510000,1991,10,930,1,NULL
aldresc01,0,0,0,0,0,0,0,20,39,1,1,581,78,230,312,6.163333333333334,356,67,1499,64,3,5,NULL,600000,2000,9,229,229,NULL
aldrija01,0,0,0,0,0,0,0,6,5,0,2,119,12,39,46,4.797499999999999,62,0,326,11,2,1,NULL,62500,1987,3,62,62,NULL
alexado01,19,44,8,17,0,0,0,194,174,98,3,3376,324,978,1528,3.854782608695652,1541,464,10101,521,32,36,1,1000000,1989,19,562,561,N
alexama02,166,293,50,115,37,10,7,0,0,0,0,1,1,4,0,67.5,5,303,8880,858,53,161,NULL,612500,2000,11,594,1,NULL
alfonan01,0,2,0,2,0,0,0,35,37,0,129,677,55,250,400,4.358181818181818,296,0,1839,84,4,8,NULL,4000000,2003,11,592,592,NULL
