playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
jacksre01,2820,1551,2584,463,1702,228,115,164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2102,2057,53268,133,142,31,14,1102946,1986,Y
bellja01,2063,1123,1963,394,860,91,60,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2006,1903,50656,5609,220,1120,2,8050000,2001,N
plesada01,1064,0,1,0,0,0,0,0,65,71,1064,0,158,977,433,105,402,1041,75.55999999999999,478,1064,14,3216,100,3,6,3,2766667,1992,N
callijo01,1886,926,1757,321,840,74,51,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1777,1690,45118,175,57,34,3,NULL,NULL,N
keyji01,471,0,0,0,0,0,0,0,186,117,470,34,10,2518,1010,254,668,1538,56.20000000000001,1104,470,389,7775,452,22,35,4,5390825,1998,N
boutoji01,307,8,35,3,21,0,0,0,62,63,304,34,6,1131,492,127,435,720,43.79,566,304,144,3715,177,15,13,1,NULL,NULL,N
murcebo01,1908,972,1862,285,1043,127,75,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1706,1660,44078,293,90,48,5,NULL,NULL,N
conceda01,2488,993,2326,389,950,321,109,93,0,0,1,0,0,2,0,0,0,1,0,0,2499,2250,60624,7024,326,1390,9,920000,1986,N
rosepe01,3562,2165,4256,746,1314,198,149,167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3528,3437,90298,3349,213,1083,17,1000000,1986,N
aaronha01,3298,2174,3771,624,2297,240,73,293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3020,2977,78414,429,144,218,21,NULL,NULL,Y
alexado01,562,19,44,8,17,0,0,0,194,174,561,98,3,3376,1406,324,978,1528,88.66,1541,561,464,10101,521,32,36,1,1000000,1989,N
allendi01,1749,1099,1848,320,1119,133,52,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1722,1690,43662,1711,245,756,7,NULL,NULL,N
bondsbo01,1849,1258,1886,302,1024,461,169,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1736,1707,45315,128,89,40,3,NULL,NULL,N
burleri01,1346,656,1401,256,449,72,68,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1290,1252,33356,4109,189,893,4,856667,1986,N
huntro01,1483,745,1429,223,370,65,55,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1420,1362,35222,3807,185,713,2,NULL,NULL,N
leonadu02,640,53,177,18,69,1,0,0,191,181,640,192,44,3304,1162,158,737,1170,66.35,1432,640,0,0,719,32,41,5,NULL,NULL,N
hendrge01,2048,941,1980,343,1111,59,47,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1934,1808,48339,207,65,117,4,989333,1988,N
ordonma01,1848,1076,2156,426,1236,94,50,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1725,1701,43677,108,44,20,6,18971596,2009,N
sanchfr01,904,434,1012,215,371,13,9,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,873,804,21398,2099,45,512,3,6250000,2009,N
boonebo01,2264,679,1838,303,826,38,50,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2240,2104,55699,1185,183,155,4,1900000,1990,N
brookhu01,1645,656,1608,290,824,64,56,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1489,1454,37599,2031,196,287,2,2316667,1992,N
