playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,A_G_ALL,A_GP,inducted
ansonca01,1999,3435,582,2075,277,16,0,0,1,0,1,4,2,2,1,9,5,126,66888,1612,976,1283,NULL,2524,3,Y
allisdo01,236,382,44,139,5,2,0,0,0,0,0,11,0,1,0,1.8,5,131,8175,269,237,24,NULL,316,1,N
altroni01,52,97,9,27,5,1,0,83,75,128,7,1455,16,272,425,4.182222222222222,600,142,4512,610,31,23,NULL,229,218,N
barnero01,698,860,146,346,103,27,0,0,0,0,0,7,0,0,0,20.25,8,127,13656,1662,459,206,NULL,499,1,N
battijo01,228,439,51,143,26,5,0,0,0,0,0,12,0,2,1,3.58,6,52,13080,1253,367,88,NULL,480,3,N
becklja01,1603,2938,473,1581,315,0,0,0,1,0,0,9,0,1,2,6.75,8,389,62571,1319,482,1327,NULL,2392,1,Y
beaumgi01,955,1759,182,617,254,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,741,36630,168,141,53,NULL,1465,0,N
bresnro01,682,1252,218,530,212,3,0,4,1,3,0,68,1,15,15,3.3166666666666664,30,697,25767,1416,241,138,NULL,1447,9,Y
broutda01,1529,2303,462,1301,257,0,0,0,2,2,0,44,0,11,8,18.535,37,1,44058,668,532,892,NULL,1676,4,Y
bondto01,213,471,53,174,5,1,0,234,163,386,0,3765,50,193,972,2.8372727272727274,1931,55,12912,928,138,32,NULL,488,417,N
bradlbi01,754,1471,275,552,181,0,0,0,0,0,0,4,0,0,0,0,3,818,36579,3062,355,197,NULL,1461,1,N
breitte01,174,291,27,126,30,0,0,160,170,301,3,3101,79,1207,893,4.053636363636364,1848,0,10098,699,68,25,NULL,448,380,N
bennech01,549,978,203,533,42,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,27054,1185,439,134,NULL,1062,0,N
bergema01,180,339,44,176,24,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8673,334,82,20,NULL,344,0,N
burkeje01,1720,2850,320,952,389,0,0,3,11,6,0,144,3,94,84,6.3566666666666665,129,295,54684,309,388,64,NULL,2067,23,Y
clarkjo01,254,432,73,232,31,0,0,328,178,485,5,4295,159,1191,1978,3.0230769230769234,2384,0,14076,1151,178,45,NULL,546,531,Y
chesbja01,85,217,37,82,5,0,0,198,132,260,5,2647,39,690,1265,3.198333333333333,1206,192,8703,836,56,28,NULL,393,392,Y
colliji01,1055,1999,352,983,194,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,572,45636,3734,478,229,NULL,1726,0,Y
clarkfr01,1622,2678,361,1015,509,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,878,55116,266,266,43,NULL,2246,0,Y
chancfr01,798,1274,200,596,403,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,787,30861,819,185,486,NULL,1290,0,Y
comisch01,992,1529,207,883,416,0,0,0,1,1,0,13,0,3,6,0.75,9,0,36543,570,417,749,NULL,1390,4,Y
dennyje01,714,1286,238,667,130,0,0,0,0,0,0,5,1,4,1,9,5,0,32766,2693,609,196,NULL,1237,1,N
cummica01,149,227,29,107,3,2,0,145,94,233,0,2526,12,113,259,2.563333333333333,1450,108,6645,320,65,10,NULL,246,241,Y
davisge01,1545,2665,453,1440,619,0,0,0,1,0,1,8,0,3,4,15.75,8,697,61602,6429,803,739,NULL,2373,3,Y
dinnebi01,99,219,18,60,29,0,0,170,177,306,7,2957,78,829,1127,3.173076923076924,1411,143,9414,800,60,19,NULL,420,391,N
connoro01,1620,2467,441,1323,244,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,52968,1289,596,999,NULL,1998,0,Y
delahed01,1600,2597,522,1466,456,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,48654,1053,434,293,NULL,1837,0,Y
crigelo01,337,709,86,342,58,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,455,25665,1348,179,110,NULL,1014,0,N
dahlebi01,1590,2461,413,1234,548,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,777,64044,8138,1080,930,NULL,2446,0,N
crawfsa01,1391,2961,458,1519,366,30,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1052,41937,359,176,117,NULL,2517,0,Y
crossla01,1338,2651,411,1378,303,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,473,58737,4553,590,315,NULL,2277,0,N
davisha01,1001,1841,361,951,285,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,982,44289,1020,385,686,NULL,1757,0,N
dunlafr01,759,1159,224,366,85,0,0,0,0,0,1,6,0,0,2,9,3,0,25350,3171,499,513,NULL,965,2,N
donlimi01,669,1282,176,543,213,0,0,0,1,0,0,16,1,14,6,3.815,15,423,22107,165,176,60,NULL,1051,4,N
donovbi01,142,251,30,95,36,0,0,185,139,289,8,2631,30,1059,1552,2.8272222222222223,1212,207,9645,684,65,29,NULL,467,378,N
dunnja01,197,397,54,164,55,0,0,64,59,103,3,1217,30,334,171,6.1466666666666665,664,45,11181,910,150,72,NULL,491,142,N
ewingbu01,1129,1625,250,883,354,0,0,2,3,4,1,55,2,23,23,4.208333333333333,36,0,34098,1782,572,282,NULL,1315,9,Y
duffyhu01,1554,2293,325,1302,574,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,45348,346,247,53,NULL,1737,0,Y
doyleja01,977,1811,316,971,518,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,40128,1495,546,683,NULL,1568,0,N
elberki01,647,1235,169,535,213,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,689,29286,3774,538,403,NULL,1291,0,N
flintsi01,380,687,129,295,12,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,19788,1077,471,57,NULL,760,0,N
flickel01,950,1752,268,756,330,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,672,39192,247,148,54,NULL,1484,0,Y
frasech01,134,235,34,96,19,0,0,175,212,342,6,3462,69,1338,1098,3.4520000000000004,2000,138,10455,950,98,31,NULL,459,434,N
galvipu01,278,552,87,220,23,0,0,365,310,646,2,6405,121,745,1807,2.941764705882353,3352,0,19008,1419,181,44,NULL,731,705,Y
glassja01,1164,2041,313,827,372,0,0,0,0,0,0,12,1,7,3,14.85,11,0,45459,5951,895,656,NULL,1737,5,N
gleaski01,1022,1946,216,824,329,0,0,138,131,240,6,2552,76,906,744,4.441111111111111,1511,473,50205,5324,672,609,NULL,1966,299,N
griffcl01,202,321,49,166,22,1,0,237,146,337,8,3670,76,774,955,3.313333333333334,1852,21,10527,879,78,23,NULL,485,453,Y
hamilbi01,1697,2164,242,742,914,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,41592,182,289,55,NULL,1594,0,Y
hanlone01,931,1318,159,518,329,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,33630,252,370,52,NULL,1270,0,Y
jennihu01,992,1526,232,840,359,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,33093,3445,552,582,NULL,1286,0,Y
irwinch01,556,986,145,493,180,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,25419,2065,321,173,NULL,991,0,N
jonesfi01,1180,1920,206,631,359,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747,46350,228,150,70,NULL,1788,0,N
kellyki01,1357,1813,359,950,368,0,0,2,2,0,0,63,5,30,4,3.3114285714285714,49,0,38880,1749,851,145,NULL,1456,12,Y
keefeti01,248,390,60,134,13,0,0,342,225,554,2,4438,75,1233,2564,2.86,2470,0,15813,1079,174,31,NULL,618,600,Y
kilroma01,163,236,24,103,67,0,0,141,133,264,1,2445,53,754,1170,4.016,1539,0,7989,610,97,13,NULL,330,303,N
leevesa01,90,183,17,78,4,0,0,194,100,241,13,2449,29,587,847,2.476153846153846,1023,148,7998,659,34,11,NULL,389,388,N
keelewi01,1719,2932,241,810,495,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,731,54078,363,167,66,NULL,2122,0,Y
kellejo01,1421,2220,358,1194,443,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,389,46890,601,226,201,NULL,1852,0,Y
lajoina01,1504,3243,657,1599,380,21,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,935,47190,6691,518,1211,NULL,2480,0,Y
langebi01,691,1056,134,579,400,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,21360,387,183,76,NULL,813,0,N
lathaar01,1481,1836,245,563,742,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,42777,3656,844,267,NULL,1629,0,N
leachto01,1355,2143,266,810,361,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,985,39972,2460,459,168,NULL,2156,0,N
lowebo01,1135,1934,230,989,303,0,0,0,0,0,0,3,0,1,0,9,1,232,47613,4756,508,571,NULL,1822,1,N
mcaleji01,620,1008,114,469,262,0,0,0,0,0,0,2,0,3,0,0,3,0,26883,155,155,36,NULL,1021,1,N
mccarto01,1066,1493,191,732,468,0,0,0,8,5,0,85,3,26,21,5.096666666666667,65,0,33876,486,342,83,NULL,1273,13,Y
longhe01,1456,2129,342,1055,537,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,49722,6335,1096,785,NULL,1875,0,N
mackco01,392,659,79,265,127,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,18513,917,318,101,NULL,724,0,Y
mcveyca01,555,869,133,449,26,2,0,10,12,12,5,235,3,16,37,4.8225,141,145,14100,351,320,98,NULL,530,34,N
mcgrajo01,1024,1309,121,462,436,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,26757,2288,413,182,NULL,1105,0,Y
mcphebi01,1684,2258,303,1072,568,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,56313,6923,796,1188,NULL,2138,0,Y
nichoki01,273,472,58,278,19,0,0,362,208,532,16,4929,156,1272,1881,3.470625,2480,60,15753,1034,79,37,NULL,650,621,Y
odayha01,76,155,19,46,7,0,0,73,110,177,4,1655,65,578,663,3.6437500000000003,1128,0,5736,359,50,14,NULL,232,201,Y
paborch01,101,204,13,80,3,1,0,1,4,3,0,81,4,10,0,6.583333333333333,80,67,4623,30,98,4,NULL,170,10,N
orourji01,1729,2639,468,1208,229,12,0,0,1,0,2,17,0,2,4,4.635,14,91,53073,951,700,176,NULL,1996,6,Y
peitzhe01,532,1117,191,560,91,0,0,0,1,1,0,22,0,7,3,7.426666666666667,18,195,30300,1485,260,199,NULL,1238,4,N
radboch01,308,585,64,259,26,0,0,310,194,488,2,4328,118,875,1830,2.8927272727272726,2273,0,16896,1047,170,59,NULL,653,527,Y
pikeli01,434,638,120,332,50,15,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135,11574,339,257,40,NULL,424,0,N
remseja01,366,573,69,201,14,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,15441,88,193,23,NULL,577,0,N
richaha01,1127,1694,305,828,207,0,0,3,0,0,0,16,1,13,6,3.375,10,0,35571,2529,552,266,NULL,1334,5,N
richmle01,169,262,29,113,0,0,0,75,100,161,3,1763,27,269,552,3.768333333333333,1018,0,6381,327,86,7,NULL,251,191,N
rusieam01,209,429,42,176,25,0,0,246,174,393,5,3389,75,1707,1950,3.717,2068,0,11754,877,127,35,NULL,487,463,Y
robinwi01,637,1388,212,722,196,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,33852,1467,434,131,NULL,1371,0,Y
ritchcl01,709,1619,216,675,155,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747,43509,4958,440,619,NULL,1673,0,N
schreos01,304,829,136,338,52,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435,21786,995,194,103,NULL,898,0,N
seymocy01,737,1724,229,799,222,0,0,61,56,105,1,954,25,659,591,5.3950000000000005,632,856,37701,535,252,69,NULL,1530,141,N
