,max_depth,min_samples_split,min_samples_leaf,Accuracy,AUC_ROC
0,1.0,2.0,1.0,0.872852233676976,0.8749824429571679
1,1.0,2.0,3.0,0.872852233676976,0.8749824429571679
2,1.0,2.0,5.0,0.872852233676976,0.8749824429571679
3,1.0,2.0,7.0,0.872852233676976,0.8749824429571679
4,1.0,2.0,9.0,0.872852233676976,0.8749824429571679
5,1.0,2.0,11.0,0.872852233676976,0.8749824429571679
6,1.0,2.0,13.0,0.872852233676976,0.8749824429571679
7,1.0,2.0,15.0,0.872852233676976,0.8749824429571679
8,1.0,2.0,17.0,0.872852233676976,0.8749824429571679
9,1.0,2.0,19.0,0.872852233676976,0.8749824429571679
10,1.0,2.0,21.0,0.872852233676976,0.8749824429571679
11,1.0,2.0,23.0,0.872852233676976,0.8749824429571679
12,1.0,4.0,1.0,0.872852233676976,0.8749824429571679
13,1.0,4.0,3.0,0.872852233676976,0.8749824429571679
14,1.0,4.0,5.0,0.872852233676976,0.8749824429571679
15,1.0,4.0,7.0,0.872852233676976,0.8749824429571679
16,1.0,4.0,9.0,0.872852233676976,0.8749824429571679
17,1.0,4.0,11.0,0.872852233676976,0.8749824429571679
18,1.0,4.0,13.0,0.872852233676976,0.8749824429571679
19,1.0,4.0,15.0,0.872852233676976,0.8749824429571679
20,1.0,4.0,17.0,0.872852233676976,0.8749824429571679
21,1.0,4.0,19.0,0.872852233676976,0.8749824429571679
22,1.0,4.0,21.0,0.872852233676976,0.8749824429571679
23,1.0,4.0,23.0,0.872852233676976,0.8749824429571679
24,1.0,6.0,1.0,0.872852233676976,0.8749824429571679
25,1.0,6.0,3.0,0.872852233676976,0.8749824429571679
26,1.0,6.0,5.0,0.872852233676976,0.8749824429571679
27,1.0,6.0,7.0,0.872852233676976,0.8749824429571679
28,1.0,6.0,9.0,0.872852233676976,0.8749824429571679
29,1.0,6.0,11.0,0.872852233676976,0.8749824429571679
30,1.0,6.0,13.0,0.872852233676976,0.8749824429571679
31,1.0,6.0,15.0,0.872852233676976,0.8749824429571679
32,1.0,6.0,17.0,0.872852233676976,0.8749824429571679
33,1.0,6.0,19.0,0.872852233676976,0.8749824429571679
34,1.0,6.0,21.0,0.872852233676976,0.8749824429571679
35,1.0,6.0,23.0,0.872852233676976,0.8749824429571679
36,1.0,8.0,1.0,0.872852233676976,0.8749824429571679
37,1.0,8.0,3.0,0.872852233676976,0.8749824429571679
38,1.0,8.0,5.0,0.872852233676976,0.8749824429571679
39,1.0,8.0,7.0,0.872852233676976,0.8749824429571679
40,1.0,8.0,9.0,0.872852233676976,0.8749824429571679
41,1.0,8.0,11.0,0.872852233676976,0.8749824429571679
42,1.0,8.0,13.0,0.872852233676976,0.8749824429571679
43,1.0,8.0,15.0,0.872852233676976,0.8749824429571679
44,1.0,8.0,17.0,0.872852233676976,0.8749824429571679
45,1.0,8.0,19.0,0.872852233676976,0.8749824429571679
46,1.0,8.0,21.0,0.872852233676976,0.8749824429571679
47,1.0,8.0,23.0,0.872852233676976,0.8749824429571679
48,1.0,10.0,1.0,0.872852233676976,0.8749824429571679
49,1.0,10.0,3.0,0.872852233676976,0.8749824429571679
50,1.0,10.0,5.0,0.872852233676976,0.8749824429571679
51,1.0,10.0,7.0,0.872852233676976,0.8749824429571679
52,1.0,10.0,9.0,0.872852233676976,0.8749824429571679
53,1.0,10.0,11.0,0.872852233676976,0.8749824429571679
54,1.0,10.0,13.0,0.872852233676976,0.8749824429571679
55,1.0,10.0,15.0,0.872852233676976,0.8749824429571679
56,1.0,10.0,17.0,0.872852233676976,0.8749824429571679
57,1.0,10.0,19.0,0.872852233676976,0.8749824429571679
58,1.0,10.0,21.0,0.872852233676976,0.8749824429571679
59,1.0,10.0,23.0,0.872852233676976,0.8749824429571679
60,1.0,12.0,1.0,0.872852233676976,0.8749824429571679
61,1.0,12.0,3.0,0.872852233676976,0.8749824429571679
62,1.0,12.0,5.0,0.872852233676976,0.8749824429571679
63,1.0,12.0,7.0,0.872852233676976,0.8749824429571679
64,1.0,12.0,9.0,0.872852233676976,0.8749824429571679
65,1.0,12.0,11.0,0.872852233676976,0.8749824429571679
66,1.0,12.0,13.0,0.872852233676976,0.8749824429571679
67,1.0,12.0,15.0,0.872852233676976,0.8749824429571679
68,1.0,12.0,17.0,0.872852233676976,0.8749824429571679
69,1.0,12.0,19.0,0.872852233676976,0.8749824429571679
70,1.0,12.0,21.0,0.872852233676976,0.8749824429571679
71,1.0,12.0,23.0,0.872852233676976,0.8749824429571679
72,1.0,14.0,1.0,0.872852233676976,0.8749824429571679
73,1.0,14.0,3.0,0.872852233676976,0.8749824429571679
74,1.0,14.0,5.0,0.872852233676976,0.8749824429571679
75,1.0,14.0,7.0,0.872852233676976,0.8749824429571679
76,1.0,14.0,9.0,0.872852233676976,0.8749824429571679
77,1.0,14.0,11.0,0.872852233676976,0.8749824429571679
78,1.0,14.0,13.0,0.872852233676976,0.8749824429571679
79,1.0,14.0,15.0,0.872852233676976,0.8749824429571679
80,1.0,14.0,17.0,0.872852233676976,0.8749824429571679
81,1.0,14.0,19.0,0.872852233676976,0.8749824429571679
82,1.0,14.0,21.0,0.872852233676976,0.8749824429571679
83,1.0,14.0,23.0,0.872852233676976,0.8749824429571679
84,1.0,16.0,1.0,0.872852233676976,0.8749824429571679
85,1.0,16.0,3.0,0.872852233676976,0.8749824429571679
86,1.0,16.0,5.0,0.872852233676976,0.8749824429571679
87,1.0,16.0,7.0,0.872852233676976,0.8749824429571679
88,1.0,16.0,9.0,0.872852233676976,0.8749824429571679
89,1.0,16.0,11.0,0.872852233676976,0.8749824429571679
90,1.0,16.0,13.0,0.872852233676976,0.8749824429571679
91,1.0,16.0,15.0,0.872852233676976,0.8749824429571679
92,1.0,16.0,17.0,0.872852233676976,0.8749824429571679
93,1.0,16.0,19.0,0.872852233676976,0.8749824429571679
94,1.0,16.0,21.0,0.872852233676976,0.8749824429571679
95,1.0,16.0,23.0,0.872852233676976,0.8749824429571679
96,1.0,18.0,1.0,0.872852233676976,0.8749824429571679
97,1.0,18.0,3.0,0.872852233676976,0.8749824429571679
98,1.0,18.0,5.0,0.872852233676976,0.8749824429571679
