,max_depth,min_samples_split,min_samples_leaf,Accuracy,AUC_ROC
0,1.0,2.0,1.0,0.77734375,0.5780701754385965
1,1.0,2.0,3.0,0.77734375,0.5780701754385965
2,1.0,2.0,5.0,0.77734375,0.5780701754385965
3,1.0,2.0,7.0,0.77734375,0.5780701754385965
4,1.0,2.0,9.0,0.77734375,0.5780701754385965
5,1.0,2.0,11.0,0.77734375,0.5780701754385965
6,1.0,2.0,13.0,0.77734375,0.5780701754385965
7,1.0,2.0,15.0,0.77734375,0.5780701754385965
8,1.0,2.0,17.0,0.77734375,0.5780701754385965
9,1.0,2.0,19.0,0.77734375,0.5780701754385965
10,1.0,2.0,21.0,0.77734375,0.5780701754385965
11,1.0,2.0,23.0,0.77734375,0.5780701754385965
12,1.0,4.0,1.0,0.77734375,0.5780701754385965
13,1.0,4.0,3.0,0.77734375,0.5780701754385965
14,1.0,4.0,5.0,0.77734375,0.5780701754385965
15,1.0,4.0,7.0,0.77734375,0.5780701754385965
16,1.0,4.0,9.0,0.77734375,0.5780701754385965
17,1.0,4.0,11.0,0.77734375,0.5780701754385965
18,1.0,4.0,13.0,0.77734375,0.5780701754385965
19,1.0,4.0,15.0,0.77734375,0.5780701754385965
20,1.0,4.0,17.0,0.77734375,0.5780701754385965
21,1.0,4.0,19.0,0.77734375,0.5780701754385965
22,1.0,4.0,21.0,0.77734375,0.5780701754385965
23,1.0,4.0,23.0,0.77734375,0.5780701754385965
24,1.0,6.0,1.0,0.77734375,0.5780701754385965
25,1.0,6.0,3.0,0.77734375,0.5780701754385965
26,1.0,6.0,5.0,0.77734375,0.5780701754385965
27,1.0,6.0,7.0,0.77734375,0.5780701754385965
28,1.0,6.0,9.0,0.77734375,0.5780701754385965
29,1.0,6.0,11.0,0.77734375,0.5780701754385965
30,1.0,6.0,13.0,0.77734375,0.5780701754385965
31,1.0,6.0,15.0,0.77734375,0.5780701754385965
32,1.0,6.0,17.0,0.77734375,0.5780701754385965
33,1.0,6.0,19.0,0.77734375,0.5780701754385965
34,1.0,6.0,21.0,0.77734375,0.5780701754385965
35,1.0,6.0,23.0,0.77734375,0.5780701754385965
36,1.0,8.0,1.0,0.77734375,0.5780701754385965
37,1.0,8.0,3.0,0.77734375,0.5780701754385965
38,1.0,8.0,5.0,0.77734375,0.5780701754385965
39,1.0,8.0,7.0,0.77734375,0.5780701754385965
40,1.0,8.0,9.0,0.77734375,0.5780701754385965
41,1.0,8.0,11.0,0.77734375,0.5780701754385965
42,1.0,8.0,13.0,0.77734375,0.5780701754385965
43,1.0,8.0,15.0,0.77734375,0.5780701754385965
44,1.0,8.0,17.0,0.77734375,0.5780701754385965
45,1.0,8.0,19.0,0.77734375,0.5780701754385965
46,1.0,8.0,21.0,0.77734375,0.5780701754385965
47,1.0,8.0,23.0,0.77734375,0.5780701754385965
48,1.0,10.0,1.0,0.77734375,0.5780701754385965
49,1.0,10.0,3.0,0.77734375,0.5780701754385965
50,1.0,10.0,5.0,0.77734375,0.5780701754385965
51,1.0,10.0,7.0,0.77734375,0.5780701754385965
52,1.0,10.0,9.0,0.77734375,0.5780701754385965
53,1.0,10.0,11.0,0.77734375,0.5780701754385965
54,1.0,10.0,13.0,0.77734375,0.5780701754385965
55,1.0,10.0,15.0,0.77734375,0.5780701754385965
56,1.0,10.0,17.0,0.77734375,0.5780701754385965
57,1.0,10.0,19.0,0.77734375,0.5780701754385965
58,1.0,10.0,21.0,0.77734375,0.5780701754385965
59,1.0,10.0,23.0,0.77734375,0.5780701754385965
60,1.0,12.0,1.0,0.77734375,0.5780701754385965
61,1.0,12.0,3.0,0.77734375,0.5780701754385965
62,1.0,12.0,5.0,0.77734375,0.5780701754385965
63,1.0,12.0,7.0,0.77734375,0.5780701754385965
64,1.0,12.0,9.0,0.77734375,0.5780701754385965
65,1.0,12.0,11.0,0.77734375,0.5780701754385965
66,1.0,12.0,13.0,0.77734375,0.5780701754385965
67,1.0,12.0,15.0,0.77734375,0.5780701754385965
68,1.0,12.0,17.0,0.77734375,0.5780701754385965
69,1.0,12.0,19.0,0.77734375,0.5780701754385965
70,1.0,12.0,21.0,0.77734375,0.5780701754385965
71,1.0,12.0,23.0,0.77734375,0.5780701754385965
72,1.0,14.0,1.0,0.77734375,0.5780701754385965
73,1.0,14.0,3.0,0.77734375,0.5780701754385965
74,1.0,14.0,5.0,0.77734375,0.5780701754385965
75,1.0,14.0,7.0,0.77734375,0.5780701754385965
76,1.0,14.0,9.0,0.77734375,0.5780701754385965
77,1.0,14.0,11.0,0.77734375,0.5780701754385965
78,1.0,14.0,13.0,0.77734375,0.5780701754385965
79,1.0,14.0,15.0,0.77734375,0.5780701754385965
80,1.0,14.0,17.0,0.77734375,0.5780701754385965
81,1.0,14.0,19.0,0.77734375,0.5780701754385965
82,1.0,14.0,21.0,0.77734375,0.5780701754385965
83,1.0,14.0,23.0,0.77734375,0.5780701754385965
84,1.0,16.0,1.0,0.77734375,0.5780701754385965
85,1.0,16.0,3.0,0.77734375,0.5780701754385965
86,1.0,16.0,5.0,0.77734375,0.5780701754385965
87,1.0,16.0,7.0,0.77734375,0.5780701754385965
88,1.0,16.0,9.0,0.77734375,0.5780701754385965
89,1.0,16.0,11.0,0.77734375,0.5780701754385965
90,1.0,16.0,13.0,0.77734375,0.5780701754385965
91,1.0,16.0,15.0,0.77734375,0.5780701754385965
92,1.0,16.0,17.0,0.77734375,0.5780701754385965
93,1.0,16.0,19.0,0.77734375,0.5780701754385965
94,1.0,16.0,21.0,0.77734375,0.5780701754385965
95,1.0,16.0,23.0,0.77734375,0.5780701754385965
96,1.0,18.0,1.0,0.77734375,0.5780701754385965
97,1.0,18.0,3.0,0.77734375,0.5780701754385965
98,1.0,18.0,5.0,0.77734375,0.5780701754385965
99,1.0,18.0,7.0,0.77734375,0.5780701754385965
100,1.0,18.0,9.0,0.77734375,0.5780701754385965
101,1.0,18.0,11.0,0.77734375,0.5780701754385965
102,1.0,18.0,13.0,0.77734375,0.5780701754385965
103,1.0,18.0,15.0,0.77734375,0.5780701754385965
104,1.0,18.0,17.0,0.77734375,0.5780701754385965
105,1.0,18.0,19.0,0.77734375,0.5780701754385965
106,1.0,18.0,21.0,0.77734375,0.5780701754385965
107,1.0,18.0,23.0,0.77734375,0.5780701754385965
108,1.0,20.0,1.0,0.77734375,0.5780701754385965
109,1.0,20.0,3.0,0.77734375,0.5780701754385965
110,1.0,20.0,5.0,0.77734375,0.5780701754385965
111,1.0,20.0,7.0,0.77734375,0.5780701754385965
112,1.0,20.0,9.0,0.77734375,0.5780701754385965
113,1.0,20.0,11.0,0.77734375,0.5780701754385965
114,1.0,20.0,13.0,0.77734375,0.5780701754385965
115,1.0,20.0,15.0,0.77734375,0.5780701754385965
116,1.0,20.0,17.0,0.77734375,0.5780701754385965
117,1.0,20.0,19.0,0.77734375,0.5780701754385965
118,1.0,20.0,21.0,0.77734375,0.5780701754385965
119,1.0,20.0,23.0,0.77734375,0.5780701754385965
120,1.0,22.0,1.0,0.77734375,0.5780701754385965
121,1.0,22.0,3.0,0.77734375,0.5780701754385965
122,1.0,22.0,5.0,0.77734375,0.5780701754385965
123,1.0,22.0,7.0,0.77734375,0.5780701754385965
124,1.0,22.0,9.0,0.77734375,0.5780701754385965
125,1.0,22.0,11.0,0.77734375,0.5780701754385965
126,1.0,22.0,13.0,0.77734375,0.5780701754385965
127,1.0,22.0,15.0,0.77734375,0.5780701754385965
128,1.0,22.0,17.0,0.77734375,0.5780701754385965
129,1.0,22.0,19.0,0.77734375,0.5780701754385965
130,1.0,22.0,21.0,0.77734375,0.5780701754385965
131,1.0,22.0,23.0,0.77734375,0.5780701754385965
132,1.0,24.0,1.0,0.77734375,0.5780701754385965
133,1.0,24.0,3.0,0.77734375,0.5780701754385965
134,1.0,24.0,5.0,0.77734375,0.5780701754385965
135,1.0,24.0,7.0,0.77734375,0.5780701754385965
136,1.0,24.0,9.0,0.77734375,0.5780701754385965
137,1.0,24.0,11.0,0.77734375,0.5780701754385965
138,1.0,24.0,13.0,0.77734375,0.5780701754385965
139,1.0,24.0,15.0,0.77734375,0.5780701754385965
140,1.0,24.0,17.0,0.77734375,0.5780701754385965
141,1.0,24.0,19.0,0.77734375,0.5780701754385965
142,1.0,24.0,21.0,0.77734375,0.5780701754385965
143,1.0,24.0,23.0,0.77734375,0.5780701754385965
144,2.0,2.0,1.0,0.8125,0.7105263157894737
145,2.0,2.0,3.0,0.81640625,0.713157894736842
146,2.0,2.0,5.0,0.8125,0.7105263157894737
147,2.0,2.0,7.0,0.8125,0.7105263157894737
148,2.0,2.0,9.0,0.8125,0.7105263157894737
149,2.0,2.0,11.0,0.8125,0.7105263157894737
150,2.0,2.0,13.0,0.8125,0.7105263157894737
151,2.0,2.0,15.0,0.8125,0.7105263157894737
152,2.0,2.0,17.0,0.8125,0.7105263157894737
153,2.0,2.0,19.0,0.8125,0.7105263157894737
154,2.0,2.0,21.0,0.8125,0.7105263157894737
155,2.0,2.0,23.0,0.8125,0.7105263157894737
156,2.0,4.0,1.0,0.81640625,0.713157894736842
157,2.0,4.0,3.0,0.81640625,0.713157894736842
158,2.0,4.0,5.0,0.8125,0.7105263157894737
159,2.0,4.0,7.0,0.8125,0.7105263157894737
160,2.0,4.0,9.0,0.8125,0.7105263157894737
161,2.0,4.0,11.0,0.8125,0.7105263157894737
162,2.0,4.0,13.0,0.8125,0.7105263157894737
163,2.0,4.0,15.0,0.8125,0.7105263157894737
164,2.0,4.0,17.0,0.8125,0.7105263157894737
165,2.0,4.0,19.0,0.8125,0.7105263157894737
166,2.0,4.0,21.0,0.8125,0.7105263157894737
167,2.0,4.0,23.0,0.8125,0.7105263157894737
168,2.0,6.0,1.0,0.81640625,0.713157894736842
169,2.0,6.0,3.0,0.81640625,0.713157894736842
170,2.0,6.0,5.0,0.8125,0.7105263157894737
171,2.0,6.0,7.0,0.8125,0.7105263157894737
172,2.0,6.0,9.0,0.8125,0.7105263157894737
173,2.0,6.0,11.0,0.8125,0.7105263157894737
174,2.0,6.0,13.0,0.8125,0.7105263157894737
175,2.0,6.0,15.0,0.8125,0.7105263157894737
176,2.0,6.0,17.0,0.8125,0.7105263157894737
177,2.0,6.0,19.0,0.8125,0.7105263157894737
178,2.0,6.0,21.0,0.8125,0.7105263157894737
179,2.0,6.0,23.0,0.8125,0.7105263157894737
180,2.0,8.0,1.0,0.81640625,0.713157894736842
181,2.0,8.0,3.0,0.81640625,0.713157894736842
182,2.0,8.0,5.0,0.8125,0.7105263157894737
183,2.0,8.0,7.0,0.8125,0.7105263157894737
184,2.0,8.0,9.0,0.8125,0.7105263157894737
185,2.0,8.0,11.0,0.8125,0.7105263157894737
186,2.0,8.0,13.0,0.8125,0.7105263157894737
187,2.0,8.0,15.0,0.8125,0.7105263157894737
188,2.0,8.0,17.0,0.8125,0.7105263157894737
189,2.0,8.0,19.0,0.8125,0.7105263157894737
190,2.0,8.0,21.0,0.8125,0.7105263157894737
191,2.0,8.0,23.0,0.8125,0.7105263157894737
192,2.0,10.0,1.0,0.81640625,0.713157894736842
193,2.0,10.0,3.0,0.81640625,0.713157894736842
194,2.0,10.0,5.0,0.8125,0.7105263157894737
195,2.0,10.0,7.0,0.8125,0.7105263157894737
196,2.0,10.0,9.0,0.8125,0.7105263157894737
197,2.0,10.0,11.0,0.8125,0.7105263157894737
198,2.0,10.0,13.0,0.8125,0.7105263157894737
199,2.0,10.0,15.0,0.8125,0.7105263157894737
200,2.0,10.0,17.0,0.8125,0.7105263157894737
201,2.0,10.0,19.0,0.8125,0.7105263157894737
202,2.0,10.0,21.0,0.8125,0.7105263157894737
203,2.0,10.0,23.0,0.8125,0.7105263157894737
204,2.0,12.0,1.0,0.81640625,0.713157894736842
205,2.0,12.0,3.0,0.8125,0.7105263157894737
206,2.0,12.0,5.0,0.8125,0.7105263157894737
207,2.0,12.0,7.0,0.8125,0.7105263157894737
208,2.0,12.0,9.0,0.8125,0.7105263157894737
209,2.0,12.0,11.0,0.8125,0.7105263157894737
210,2.0,12.0,13.0,0.8125,0.7105263157894737
211,2.0,12.0,15.0,0.8125,0.7105263157894737
212,2.0,12.0,17.0,0.8125,0.7105263157894737
213,2.0,12.0,19.0,0.8125,0.7105263157894737
214,2.0,12.0,21.0,0.8125,0.7105263157894737
215,2.0,12.0,23.0,0.8125,0.7105263157894737
216,2.0,14.0,1.0,0.8125,0.7105263157894737
217,2.0,14.0,3.0,0.81640625,0.713157894736842
218,2.0,14.0,5.0,0.8125,0.7105263157894737
219,2.0,14.0,7.0,0.8125,0.7105263157894737
220,2.0,14.0,9.0,0.8125,0.7105263157894737
221,2.0,14.0,11.0,0.8125,0.7105263157894737
222,2.0,14.0,13.0,0.8125,0.7105263157894737
223,2.0,14.0,15.0,0.8125,0.7105263157894737
224,2.0,14.0,17.0,0.8125,0.7105263157894737
225,2.0,14.0,19.0,0.8125,0.7105263157894737
226,2.0,14.0,21.0,0.8125,0.7105263157894737
227,2.0,14.0,23.0,0.8125,0.7105263157894737
228,2.0,16.0,1.0,0.81640625,0.713157894736842
229,2.0,16.0,3.0,0.81640625,0.713157894736842
230,2.0,16.0,5.0,0.8125,0.7105263157894737
231,2.0,16.0,7.0,0.8125,0.7105263157894737
232,2.0,16.0,9.0,0.8125,0.7105263157894737
233,2.0,16.0,11.0,0.8125,0.7105263157894737
234,2.0,16.0,13.0,0.8125,0.7105263157894737
235,2.0,16.0,15.0,0.8125,0.7105263157894737
236,2.0,16.0,17.0,0.8125,0.7105263157894737
237,2.0,16.0,19.0,0.8125,0.7105263157894737
238,2.0,16.0,21.0,0.8125,0.7105263157894737
239,2.0,16.0,23.0,0.8125,0.7105263157894737
240,2.0,18.0,1.0,0.8125,0.7105263157894737
241,2.0,18.0,3.0,0.8125,0.7105263157894737
242,2.0,18.0,5.0,0.8125,0.7105263157894737
243,2.0,18.0,7.0,0.8125,0.7105263157894737
244,2.0,18.0,9.0,0.8125,0.7105263157894737
245,2.0,18.0,11.0,0.8125,0.7105263157894737
246,2.0,18.0,13.0,0.8125,0.7105263157894737
247,2.0,18.0,15.0,0.8125,0.7105263157894737
248,2.0,18.0,17.0,0.8125,0.7105263157894737
